Name,BSE Code,NSE Code,Industry,Current Price,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Net cash flow last year,Cash beginning of last year,Cash end of last year,Free cash flow preceding year,Cash from operations preceding year,Cash from investing preceding year,Cash from financing preceding year,Net cash flow preceding year,Cash beginning of preceding year,Cash end of preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Free cash flow 10years,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Operating cash flow 10years,Investing cash flow 10years,Investing cash flow 7years,Investing cash flow 5years,Investing cash flow 3years,Cash 3Years back,Cash 5Years back,Cash 7Years back,Market Capitalization,join_key
KSB,500249.0,KSB,Pumps,4809.9,141.5,49.05,4.6,-58.52,87.57,31.95,274.57,-67.11,38.24,-12.29,-50.56,-24.61,56.57,261.01,6.87,285.42,213.94,348.44,242.23,615.83,667.9,943.63,-410.64,-305.18,-258.51,-5.26,403.35,138.69,202.18,16743.26,500249.0_KSB
KSE,519421.0,__NA__,Food - Processing - Indian,2470.0,-15.02,-23.33,23.73,-7.17,1.54,8.93,13.45,21.16,34.28,-31.74,-8.29,-5.74,14.67,12.8,-15.41,54.67,102.19,158.97,23.07,91.97,143.9,198.46,-51.11,-21.31,-5.19,47.05,7.84,25.6,11.4,790.4,519421.0___NA__
Kshitij Polyline,-1.0,KSHITIJPOL,Plastics Products,6.99,0.18,-2.76,-4.41,7.3,3.08,0.26,0.64,-2.76,0.18,-4.41,7.3,3.08,0.26,3.34,-3.37,,,,4.25,,,,,,,-11.37,,,,63.74,-1.0_KSHITIJPOL
Ksolves India,543599.0,KSOLVES,Computers - Software - Medium / Small,1152.0,33.35,31.17,-1.9,-32.6,-1.16,8.22,7.67,19.54,20.33,-0.43,-18.38,1.52,6.7,8.26,59.99,64.64,,,63.46,68.6,,,,,-2.89,-1.53,7.38,0.04,0.07,1365.85,543599.0_KSOLVES
Kuantum Papers,532937.0,KUANTUM,Paper,156.8,297.8,131.47,-156.11,-72.65,69.04,1.54,77.93,312.12,375.43,-59.65,-317.8,-2.02,3.56,17.26,452.18,145.89,135.7,113.64,721.57,876.03,1143.06,1304.83,-1160.7,-961.71,-680.03,-250.4,16.12,65.69,35.9,1368.28,532937.0_KUANTUM
Kuber Udyog,539408.0,__NA__,Finance & Investments,14.02,-0.07,-0.07,0.09,-0.02,0.0,0.18,0.18,-0.03,-0.03,0.23,-0.02,0.18,0.0,0.18,-0.52,-0.92,-1.31,-4.05,-0.52,-0.92,-1.31,-4.04,-2.15,-2.45,-1.38,-0.58,1.34,0.05,1.47,4.81,539408.0___NA__
Kuberan Global,543289.0,__NA__,Miscellaneous,15.3,0.47,0.09,-0.38,0.0,0.09,0.11,0.11,-0.05,0.34,-0.39,0.0,-0.05,0.16,0.11,-0.96,-1.3,,,0.81,0.88,,,,,-1.98,-1.77,0.04,,,3.22,543289.0___NA__
Kumbhat Fin.,526869.0,__NA__,Finance & Investments,17.97,-1.71,-1.71,0.0,1.59,-0.12,0.2,0.08,2.79,2.8,-0.01,-2.62,0.17,0.04,0.47,2.04,-1.95,-2.84,,2.05,-1.94,-2.83,,,-0.01,-0.01,-0.01,4.07,0.01,0.16,8.53,526869.0___NA__
Kundan Edifice,-1.0,KEL,Electric Equipment,142.1,-9.88,-18.82,-9.44,22.65,3.33,0.13,0.35,-4.09,-1.62,-2.67,4.38,0.08,0.04,0.35,-24.26,-28.04,-30.85,,-9.43,-10.85,-13.27,,,-18.3,-17.91,-15.55,0.28,0.04,,145.97,-1.0_KEL
Kunststoff Inds.,523594.0,__NA__,Plastics Products,27.0,1.03,0.66,0.03,0.0,1.06,5.81,6.87,-0.54,-0.18,-0.13,0.0,-0.31,6.12,5.81,2.52,4.12,5.54,7.08,3.85,6.12,7.92,9.54,-1.13,-1.31,-1.09,-0.54,3.56,1.83,0.24,18.59,523594.0___NA__
Kush Industries,514240.0,__NA__,Textiles - Processing,12.66,-0.29,2.12,2.52,0.0,2.22,1.12,3.34,3.38,3.38,0.13,-2.86,0.65,0.46,1.12,5.25,4.69,3.73,0.49,-0.03,-0.59,-1.67,-4.95,8.53,8.16,7.71,5.52,0.46,0.55,0.58,19.31,514240.0___NA__
Kuwer Industries,530421.0,__NA__,Packaging,12.24,-1.02,-1.72,-0.7,2.22,0.5,0.16,0.16,2.9,3.17,-0.28,-2.99,-0.09,0.25,0.16,-5.14,-6.06,-21.85,-20.47,-2.62,-0.01,-1.72,0.64,-22.65,-20.14,-6.06,-2.53,0.07,0.21,0.17,11.11,530421.0___NA__
Kwality Pharma,539997.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs & Formln,498.9,42.98,17.25,-26.4,-17.4,-0.81,3.07,5.94,-4.43,41.38,-48.44,0.99,-6.07,9.13,7.36,18.27,9.95,4.81,-3.27,144.96,177.83,190.84,193.38,-207.77,-196.75,-178.77,-137.77,5.81,1.4,2.99,517.67,539997.0___NA__
L G Balakrishnan,500250.0,LGBBROSLTD,Auto Ancillaries,1443.0,342.75,186.72,-299.4,-40.01,3.34,13.7,360.04,91.21,166.74,-157.3,-57.79,-48.36,62.06,347.57,432.77,738.51,692.31,792.48,711.95,1126.38,1355.61,1741.58,-1361.02,-1081.9,-814.7,-638.38,146.44,9.65,18.99,4529.89,500250.0_LGBBROSLTD
L T Foods,532783.0,LTFOODS,Food - Processing - Indian,263.55,756.91,555.82,-201.48,-537.97,17.46,32.15,50.34,114.59,258.37,-394.6,136.31,0.07,32.08,38.99,1035.97,1774.35,1594.41,1942.12,1532.75,2454.58,2617.33,3150.19,-1489.22,-1295.03,-925.05,-740.77,29.97,37.67,41.51,9151.83,532783.0_LTFOODS
L&T Finance Ltd,533519.0,LTF,Finance & Investments,186.8,673.47,555.33,848.62,-7037.42,-5515.33,9108.68,4676.02,6622.2,6718.25,-861.74,-1663.81,4192.7,4915.98,12748.91,13178.99,20701.98,-6635.31,-28280.36,13469.78,21095.84,-6187.32,-27653.01,-11793.22,-9003.43,-6964.75,-5099.98,8426.97,1874.15,594.38,46510.23,533519.0_LTF
L&T Technology,540115.0,LTTS,Computers - Software - Large,4987.05,1341.3,1101.4,-231.4,-646.6,463.3,452.9,1177.9,1101.6,1266.9,-560.2,-434.2,272.5,180.4,615.6,2990.8,4703.6,5647.9,6660.44,3507.5,5438.9,6518.2,7733.03,-4017.42,-3080.0,-2425.3,-1180.2,200.2,191.6,62.2,52777.63,540115.0_LTTS
La Opala RG,526947.0,LAOPALA,Glass & Glass Products,324.55,68.2,60.37,-24.75,-43.28,0.18,0.03,0.59,87.24,109.32,-68.88,-40.43,0.0,0.03,4.49,205.73,284.12,363.73,476.37,276.91,433.37,564.23,743.72,-591.97,-393.81,-292.94,-168.62,4.35,3.78,1.75,3602.52,526947.0_LAOPALA
La Tim Metal & I,505693.0,__NA__,Trading,15.0,-9.1,-12.64,-1.95,10.86,-0.18,1.01,1.16,1.27,1.39,-0.12,-1.69,-0.43,0.5,0.07,-13.32,-10.35,-20.5,-17.8,-9.65,-6.09,-16.11,-22.05,0.4,-8.24,-2.66,-2.08,2.82,0.04,2.14,195.07,505693.0___NA__
Labelkraft Tech.,543830.0,__NA__,Computers - Hardware,65.5,1.63,-0.1,-2.04,-1.14,-1.54,4.04,3.74,-3.99,1.71,-8.14,8.01,1.59,0.0,3.74,,,,,,,,,,,,,,,,21.25,543830.0___NA__
Lactose (India),524202.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs,182.0,9.42,7.24,-2.24,-6.23,0.95,0.58,1.86,6.52,8.06,-1.02,-8.38,-1.34,1.92,0.92,21.2,22.25,22.88,15.92,25.95,35.52,40.61,62.38,-41.09,-16.5,-12.88,-3.82,2.66,0.94,0.55,229.12,524202.0___NA__
Ladam Affordab.,540026.0,__NA__,Construction,8.04,0.09,0.09,-0.47,0.35,-0.03,0.71,0.67,-0.07,-0.07,-2.36,-5.24,-7.67,8.38,0.71,2.5,22.55,33.34,25.37,2.5,22.55,33.35,25.93,-3.54,-5.85,-5.79,-3.1,7.3,6.74,5.86,14.73,540026.0___NA__
Ladderup Finance,530577.0,__NA__,Finance & Investments,39.9,-8.14,-9.13,-0.91,9.81,0.77,1.14,3.94,3.06,5.47,-4.92,-0.96,-0.41,1.55,3.23,0.03,-1.48,-26.68,-33.06,3.52,2.95,9.08,2.86,-5.25,-4.66,27.35,-13.35,2.12,4.13,0.3,51.27,530577.0___NA__
Laffans Petroch,524522.0,__NA__,Trading,39.9,-1.79,-1.84,0.97,-0.01,-0.83,0.84,0.01,-0.35,0.51,-0.29,0.58,0.81,0.03,0.84,-2.83,-3.57,-4.18,-9.22,-1.99,-2.93,1.96,-2.95,0.3,-2.86,1.89,1.24,0.05,0.29,0.25,31.92,524522.0___NA__
Lagnam Spintex,-1.0,LAGNAM,Textiles - Products,143.0,21.81,-178.72,-200.29,178.58,0.1,0.18,0.28,-12.5,12.88,-25.1,8.46,-3.76,3.95,0.18,-170.69,-203.29,-291.26,,57.82,57.2,58.11,,,-347.28,-258.87,-227.59,0.45,6.94,0.02,252.66,-1.0_LAGNAM
Lahoti Overseas,531842.0,__NA__,Trading,51.45,-36.17,-36.95,32.36,-1.22,-5.02,19.02,14.01,87.79,88.37,-36.05,-54.66,-2.35,21.37,19.02,64.39,30.71,59.06,118.24,66.6,34.3,62.96,140.74,-12.65,13.44,2.93,-9.58,4.32,6.24,8.35,150.07,531842.0___NA__
Lak. Auto. Looms,505302.0,__NA__,Miscellaneous,3041.45,2.4,0.43,-0.06,-2.38,-0.05,0.09,5.63,8.5,8.5,-8.59,0.1,0.01,0.08,6.85,9.08,5.16,4.44,6.04,11.04,13.05,17.74,19.11,-9.37,-14.37,-11.09,-7.73,3.2,4.64,5.88,203.4,505302.0___NA__
Lak. Electrical,504258.0,__NA__,Electric Equipment,1569.0,15.63,9.08,-8.77,-6.87,0.0,0.04,10.55,-6.27,11.07,-8.3,-2.77,-0.01,0.04,5.28,5.67,-7.28,9.96,-12.36,33.44,32.3,54.21,48.1,-36.77,-19.32,-19.35,-17.89,9.83,11.14,33.24,385.96,504258.0___NA__
Lak. Fin. & Indl,-1.0,LFIC,Finance & Investments,208.49,-3.27,-3.42,7.63,-0.86,3.5,1.29,6.4,1.24,1.24,-4.27,-1.12,-4.15,5.44,2.01,-2.38,-4.56,-6.65,-11.96,-2.22,-4.39,-6.47,-11.7,25.69,20.55,11.51,9.17,4.7,6.85,2.32,62.53,-1.0_LFIC
Lak. Mach. Works,500252.0,LAXMIMACH,Textile Machinery,17291.75,140.58,-8.7,-74.12,-105.48,-39.02,157.44,954.75,111.05,364.14,-242.25,-42.97,78.93,78.51,761.38,513.2,647.46,654.15,655.45,989.49,1220.23,1529.54,1878.2,-1022.61,-972.39,-978.29,-764.19,782.41,558.0,922.95,18472.79,500252.0_LAXMIMACH
Lak. Prec. Screw,506079.0,LAKPRE,Fasteners,5.78,30.23,28.17,2.57,-34.87,-2.07,2.3,5.22,2.25,76.69,-34.42,-40.64,1.63,0.67,10.49,52.19,58.13,38.76,-3.58,162.47,196.3,259.21,262.4,-212.51,-167.45,-84.43,-57.36,12.64,9.83,9.72,6.32,506079.0_LAKPRE
Lakhotia Poly.,535387.0,__NA__,Textiles - Spinning - Synthetic / Blended,36.0,0.36,0.04,1.95,-2.26,0.05,0.09,0.14,-0.69,-0.68,0.78,-0.11,-0.01,0.1,0.09,-2.3,-1.24,-10.55,-10.49,-1.94,-0.87,-10.09,-9.94,0.94,1.02,3.33,3.04,0.12,0.22,0.09,37.71,535387.0___NA__
Lakshmi Mills,502958.0,__NA__,Textiles - Composite,7030.0,15.8,-20.16,-37.96,22.61,0.45,0.09,3.83,-19.61,37.74,-56.49,18.69,-0.05,0.14,1.06,-26.02,-15.92,-21.33,3.71,81.38,118.06,133.53,180.05,-162.25,-148.13,-132.77,-108.12,1.93,2.87,2.44,489.32,502958.0___NA__
Lambodhara Text.,590075.0,LAMBODHARA,Textiles - Cotton/Blended,153.0,16.25,2.68,-14.59,-3.18,-1.52,1.64,3.45,-6.48,27.77,-35.78,9.53,1.53,0.11,4.77,2.85,33.16,53.3,67.43,57.34,113.94,151.21,185.97,-144.69,-124.75,-108.12,-62.31,8.4,1.01,1.34,158.78,590075.0_LAMBODHARA
Lancer Containe.,539841.0,__NA__,Miscellaneous,51.12,43.17,2.72,-40.27,-8.47,-5.57,40.99,35.42,-283.33,-223.47,-61.17,277.3,-7.35,48.34,40.99,-247.99,-208.71,,,-133.5,-84.99,,,,,-128.41,-116.36,18.84,,,1202.44,539841.0___NA__
Lancor Holdings,509048.0,LANCORHOL,Construction,42.71,29.02,25.14,-2.44,-28.57,-1.99,5.93,5.96,86.31,88.49,-2.16,-84.12,2.21,3.72,5.96,168.22,173.62,196.06,203.75,175.26,183.04,199.2,209.5,89.55,7.83,-7.27,-5.52,3.65,12.34,6.52,311.77,509048.0_LANCORHOL
Landmarc Leisur.,532275.0,__NA__,Entertainment / Electronic Media Software,0.92,-0.51,-0.49,0.19,-0.08,-0.4,0.58,0.18,-1.33,-4.17,2.58,2.12,0.53,0.05,0.58,-2.57,-5.52,-5.52,3.09,-4.42,-5.76,-7.07,3.92,-1.15,1.25,0.12,1.8,0.27,0.17,0.31,73.6,532275.0___NA__
Landmark Cars,543714.0,LANDMARK,Trading,723.1,40.81,-37.72,-113.29,64.58,-7.89,19.38,31.91,2.67,70.99,-72.16,0.54,-0.63,20.01,39.96,5.58,237.6,216.64,,188.24,474.34,542.51,,,-414.52,-319.2,-219.37,22.72,36.57,,2988.35,543714.0_LANDMARK
Landmark Prop.,533012.0,LPDC,Construction,9.89,0.99,0.99,-0.93,0.0,0.06,0.02,3.46,0.25,0.25,-0.28,0.0,-0.03,0.06,3.46,1.34,1.31,-3.47,-3.53,1.34,1.31,0.55,0.5,0.19,-0.6,-1.43,-1.39,2.93,0.25,0.92,132.68,533012.0_LPDC
Larsen & Toubro,500510.0,LT,Engineering - Turnkey Services,3529.0,18266.28,14055.81,2178.89,-25413.36,-4968.19,16926.69,15358.39,18983.54,22776.96,-8048.02,-11572.49,3156.45,13770.24,22519.6,49163.05,74708.98,54407.68,43419.17,60206.82,89974.52,75187.67,77237.96,-49921.66,-30721.01,-23612.71,-9454.51,16241.5,11726.24,5305.96,485183.91,500510.0_LT
Lasa Supergeneri,540702.0,LASA,Pharmaceuticals - Indian - Bulk Drugs & Formln,22.8,2.14,0.48,-0.4,-1.93,-0.19,0.8,1.5,-12.47,-17.3,11.19,-4.16,-10.27,11.07,2.39,-0.2,47.51,70.48,,-5.95,48.98,129.99,,,-49.1,2.65,7.88,4.4,2.69,1.16,114.23,540702.0_LASA
Last Mile Enter.,526961.0,__NA__,Construction,780.0,-30.9,-36.11,-53.76,87.55,2.89,0.36,,-7.01,-7.01,0.6,6.68,0.27,0.09,,,,,,,,,,,,,,,,,1604.4,526961.0___NA__
Latent View,543398.0,LATENTVIEW,Computers - Software - Medium / Small,505.8,115.37,111.05,-3.75,-1.1,110.52,53.38,415.8,94.22,97.44,-276.76,-4.06,-183.38,236.76,541.33,286.16,433.92,,,300.24,453.1,,,,,-791.4,-715.07,221.47,78.81,,10419.37,543398.0_LATENTVIEW
Latteys Industri,-1.0,LATTEYS,Engineering,16.61,0.56,-3.25,-3.38,2.81,0.0,0.07,0.07,2.9,2.9,0.02,-1.14,1.78,0.21,0.07,1.44,3.33,-4.53,,6.09,9.15,3.96,,,-9.48,-5.7,-4.52,0.51,0.4,0.89,95.5,-1.0_LATTEYS
Laurus Labs,540222.0,LAURUSLABS,Pharmaceuticals - Indian - Bulk Drugs & Formln,428.3,665.69,-10.32,-822.25,249.83,93.27,45.67,141.65,6.41,993.9,-996.94,-26.64,-29.68,75.35,48.46,30.47,204.98,200.27,-336.28,2570.69,3651.11,4291.26,4740.51,-5530.45,-4532.72,-3895.63,-2733.66,48.46,3.02,4.09,23090.83,540222.0_LAURUSLABS
Laxmi Cotspin,-1.0,LAXMICOT,Textiles - Cotton/Blended,31.13,-8.38,-9.11,-1.06,10.11,0.67,0.17,0.84,3.4,4.77,-1.7,-2.96,0.11,0.05,0.17,-14.47,2.4,16.76,7.29,-9.31,9.53,29.2,48.22,-42.14,-13.66,-8.35,-6.37,0.1,1.17,0.99,53.39,-1.0_LAXMICOT
Laxmi Goldorna,-1.0,LGHL,Construction,334.0,-8.63,-8.68,-8.14,16.82,0.04,0.7,0.73,5.1,5.26,-1.1,-4.73,-0.56,1.26,0.7,-19.78,-27.13,,,-18.71,-26.0,,,,,-11.15,-11.09,0.43,0.15,0.65,697.11,-1.0_LGHL
Laxmi Organic,543277.0,LXCHEM,Chemicals,255.75,561.57,314.09,-489.54,-41.9,30.13,81.01,317.08,-276.68,199.06,-384.11,232.46,47.4,33.61,130.85,-185.88,-77.55,-82.39,,825.62,1127.32,1308.22,,,-1702.27,-1494.69,-797.75,539.39,46.74,23.41,7070.16,543277.0_LXCHEM
Laxmipati Engg,537669.0,__NA__,Miscellaneous,70.35,3.02,1.45,-1.57,-1.42,0.03,0.03,0.03,-4.01,-3.38,-0.63,3.86,-0.15,0.18,0.03,-6.2,-16.74,-23.07,-23.04,4.56,2.16,-0.5,-0.02,-23.06,-22.62,-18.93,-10.76,0.45,0.55,0.07,40.45,537669.0___NA__
LCC Infotech,532019.0,LCCINFOTEC,Computers - Education,4.0,-0.15,1.24,0.89,-1.16,-0.42,0.45,0.03,-0.01,-0.01,0.0,0.23,0.22,0.23,0.45,1.29,0.5,-0.49,-0.46,-0.1,-0.88,-1.8,-1.57,0.46,0.71,0.82,0.9,0.01,0.39,0.55,50.63,532019.0_LCCINFOTEC
Le Lavoir,539814.0,__NA__,Miscellaneous,269.95,1.28,0.1,-1.49,0.41,0.21,0.35,0.56,-0.18,1.39,-1.17,0.0,0.22,0.13,0.35,-0.61,-1.26,-3.6,-3.74,2.14,2.39,0.05,-0.09,-3.18,-0.58,-3.02,-2.06,0.05,0.15,0.06,87.46,539814.0___NA__
Le Merite Export,-1.0,LEMERITE,Trading,140.3,0.12,-1.3,-1.66,4.47,2.93,41.98,41.98,11.26,18.38,-7.32,22.68,33.74,8.24,41.98,-35.83,-60.67,,,-25.46,-50.1,,,,,-11.23,-10.92,7.96,10.02,,329.44,-1.0_LEMERITE
Le Travenues,544192.0,IXIGO,Travel Agencies,159.25,30.7,25.35,22.06,-2.18,50.59,22.0,92.58,-36.28,-34.35,-221.64,257.88,1.9,20.11,104.54,-26.14,-35.58,,,-18.83,-27.21,,,,,-167.07,-209.77,31.94,,,6169.71,544192.0_IXIGO
Lead Financial S,531288.0,__NA__,Finance & Investments,18.0,-1.63,-1.63,0.0,-0.07,-1.71,1.75,0.04,1.72,1.72,0.0,0.02,1.74,0.01,1.75,0.19,-0.02,-4.4,-3.86,0.19,-0.02,-4.41,-3.87,4.99,3.98,0.33,0.0,0.01,0.04,0.68,5.93,531288.0___NA__
Lead Reclaim,-1.0,LRRPL,Miscellaneous,32.4,0.39,-1.46,-2.09,1.1,-0.6,1.85,1.85,-2.96,-0.47,-4.77,6.91,1.67,0.18,1.85,-5.25,-4.18,,,-0.49,0.74,,,,,-7.3,-7.22,0.39,,,23.79,-1.0_LRRPL
Leading Lea. Fin,540360.0,__NA__,Finance & Investments,2.95,-37.66,-37.66,-7.0,49.23,4.57,0.32,4.89,0.01,0.07,-0.06,0.31,0.31,0.0,0.32,-37.68,-37.74,-37.65,-42.38,-37.44,-37.5,-37.41,-42.14,-7.24,-7.24,-7.24,-7.24,0.03,0.09,0.0,31.48,540360.0___NA__
Lee & Nee Soft.,517415.0,__NA__,Computers - Software - Medium / Small,10.22,-0.64,-0.9,-0.37,0.08,-0.93,1.63,2.3,-0.48,-0.4,1.3,0.0,0.91,0.73,1.65,2.66,0.55,-0.13,8.63,3.05,1.02,0.4,9.21,-8.74,-0.06,-1.07,-3.08,0.65,0.67,0.31,57.0,517415.0___NA__
Lehar Footwears,532829.0,__NA__,Leather / Leather Products,161.85,1.84,-6.0,-5.74,3.23,-0.67,1.46,3.33,-14.25,-2.15,-14.04,14.75,-1.44,2.9,4.93,-40.19,-28.02,-15.39,-29.63,-17.52,5.89,29.04,32.69,-56.11,-42.06,-31.34,-22.17,1.3,2.68,1.04,286.14,532829.0___NA__
Lemon Tree Hotel,541233.0,LEMONTREE,Hotels,145.15,465.01,134.5,-396.52,-58.53,9.96,23.68,53.74,223.08,384.85,-283.17,-132.28,-30.6,54.29,27.48,426.11,-79.42,-301.18,-686.28,985.16,1177.16,1478.35,1617.06,-2420.55,-1938.49,-1388.96,-725.13,141.14,31.4,17.59,11499.46,541233.0_LEMONTREE
Lerthai Finance,502250.0,__NA__,Finance & Investments,415.0,-0.65,-0.66,-4.32,0.0,-4.97,5.42,7.25,-0.95,-0.95,5.07,0.0,4.12,1.3,9.42,-2.15,-4.34,-4.98,-6.12,-2.14,-4.33,-4.97,-6.11,5.15,4.93,3.51,2.01,8.68,9.61,0.47,29.05,502250.0___NA__
Lesha Industries,533602.0,__NA__,Trading,3.9,22.36,41.47,16.61,-39.29,-0.33,0.37,0.04,-2.1,1.39,-3.49,2.27,0.17,0.2,0.37,36.88,35.75,46.33,45.88,23.88,22.76,33.29,32.84,14.97,10.95,10.49,10.5,0.12,0.08,0.02,42.9,533602.0___NA__
Lex Nimble Solu.,541196.0,__NA__,Computers - Software - Medium / Small,74.2,0.2,0.18,-5.28,0.0,-5.08,13.49,13.49,-0.28,-0.27,8.65,0.0,8.38,5.12,13.49,-0.19,0.21,1.63,,-0.15,0.42,1.92,,,-1.4,7.2,7.87,0.21,0.31,1.03,31.09,541196.0___NA__
Lexus Granito,-1.0,LEXUS,Ceramics - Tiles / Sanitaryware,42.57,11.19,11.32,0.76,-12.11,-0.17,0.24,0.07,-7.96,5.78,-13.57,7.84,0.05,0.19,0.24,19.77,28.21,37.64,-0.35,52.83,67.14,86.04,114.33,-105.73,-34.66,-26.41,-27.2,1.89,0.05,0.61,85.95,-1.0_LEXUS
LGB Forge,533007.0,LGBFORGE,Castings & Forgings,12.7,2.46,0.95,-1.53,-1.11,-0.18,0.01,0.48,-11.24,-9.07,-2.11,11.17,0.0,0.01,0.31,-8.2,-4.0,-15.01,5.36,-4.36,4.93,15.29,26.84,-21.16,-30.19,-8.81,-3.87,0.18,0.2,0.03,302.53,533007.0_LGBFORGE
Libas Consumer,-1.0,LIBAS,Food - Processing - Indian,18.1,-3.04,-3.04,0.14,3.73,0.82,7.59,8.41,-13.19,-13.1,0.32,17.12,4.34,3.24,7.59,-8.78,-7.46,-8.83,,-9.79,-8.48,-7.5,,,0.94,2.76,1.89,6.31,2.13,,47.68,-1.0_LIBAS
Liberty Shoes,526596.0,LIBERTSHOE,Leather / Leather Products,381.0,88.17,88.17,-44.41,-43.23,0.52,1.68,6.51,93.99,93.99,-55.03,-38.68,0.28,1.4,3.62,220.04,277.04,315.65,369.18,220.04,405.67,466.54,563.11,-296.29,-254.67,-233.7,-107.65,7.26,7.94,7.85,649.24,526596.0_LIBERTSHOE
Libord Finance,511593.0,__NA__,Finance & Investments,14.8,0.34,0.34,-0.24,0.0,0.1,0.02,0.12,0.47,0.47,-0.66,0.16,-0.03,0.05,0.02,0.8,-0.72,-4.16,-3.15,0.8,-0.72,-4.05,-3.0,-4.83,-5.15,-0.92,-0.9,0.06,0.06,3.18,23.24,511593.0___NA__
Libord Securitie,531027.0,__NA__,Finance & Investments,20.02,-0.36,-0.36,0.35,0.0,0.0,0.01,0.0,-0.06,-0.06,0.03,0.0,-0.03,0.03,0.01,-0.56,-0.98,0.46,0.16,-0.56,-0.98,0.49,0.19,-0.23,-0.49,0.81,0.53,0.03,0.17,0.01,10.01,531027.0___NA__
LIC Housing Fin.,500253.0,LICHSGFIN,Finance - Housing,813.05,-7150.98,-7187.63,586.86,7345.57,781.45,641.38,1655.18,-19672.54,-19632.0,-799.67,20248.69,-182.98,824.35,821.56,-43624.73,-75528.04,-116128.35,-157841.43,-43512.25,-75390.19,-115905.68,-157563.67,-3501.84,-3108.9,-2834.52,-1841.33,1384.96,3053.13,4522.54,44722.85,500253.0_LICHSGFIN
Life Insurance,543526.0,LICI,Finance & Investments,997.4,26121.65,25408.93,-25400.02,-4427.2,-3705.57,45588.14,41824.47,53976.4,54518.51,-52847.82,-948.59,722.09,44866.05,45498.6,75506.14,215717.69,,,76857.62,211826.58,,,,,42315.03,-65716.94,36078.32,67899.53,,630855.25,543526.0_LICI
Likhami Consult.,539927.0,__NA__,Miscellaneous,137.2,0.02,0.02,0.0,0.0,0.02,0.21,0.22,0.12,0.12,0.0,0.0,0.11,0.09,0.21,0.08,0.16,0.25,0.08,0.09,0.18,0.28,0.12,0.1,-0.04,0.02,0.02,0.13,0.05,0.01,136.51,539927.0___NA__
Likhitha Infra.,543240.0,LIKHITHA,Construction,470.65,6.73,-6.77,19.87,-7.39,19.22,30.47,90.2,35.94,44.77,-24.36,-2.75,17.66,22.52,40.18,23.69,38.71,27.41,24.78,56.25,75.28,76.98,77.91,-74.41,-61.13,-53.68,3.05,17.55,11.38,8.14,1856.7,543240.0_LIKHITHA
Lime Chemicals,507759.0,__NA__,Chemicals,27.0,0.53,0.5,0.02,-0.69,-0.14,0.42,0.28,-2.12,-2.63,4.37,-1.68,0.05,0.37,0.42,-8.94,-4.75,-4.13,-6.65,-7.38,-2.37,-0.41,-0.02,9.4,12.17,13.39,14.33,0.41,0.99,3.2,17.56,507759.0___NA__
Linc,531241.0,LINC,Printing & Stationery,577.85,38.35,11.98,-22.98,-9.94,5.43,7.6,13.11,18.58,43.38,-29.03,-6.84,7.51,0.09,12.4,36.91,104.77,116.54,116.29,102.17,187.75,234.09,277.73,-161.91,-118.06,-83.73,-66.08,0.27,0.24,0.22,859.4,531241.0_LINC
Lincoln Pharma.,531633.0,LINCOLN,Pharmaceuticals - Indian - Formulations,626.8,63.22,23.7,-57.34,-5.18,0.7,5.05,13.83,25.69,39.26,-36.64,-4.5,-1.88,6.93,34.32,80.07,208.9,264.08,303.48,178.61,323.3,402.77,497.17,-357.79,-297.13,-267.17,-172.06,13.84,7.58,11.68,1255.46,531633.0_LINCOLN
Linde India,523457.0,LINDEINDIA,Chemicals,8413.0,436.96,-127.32,-539.43,-105.32,-207.79,1186.61,979.83,279.81,629.18,-306.42,-119.45,203.32,983.29,1191.49,606.33,1128.65,1599.03,1945.37,1655.02,2320.73,2948.38,3754.81,-402.02,47.64,179.73,-747.42,325.86,125.4,106.14,71746.08,523457.0_LINDEINDIA
Link Pharma Chem,524748.0,__NA__,Chemicals,45.2,-0.03,-0.86,0.41,-0.41,-0.03,0.09,0.09,-2.6,-1.71,-0.08,1.61,-0.17,0.27,0.2,-5.47,-1.07,2.05,10.06,-3.0,4.79,9.94,13.39,-5.85,-10.57,-8.46,-4.64,4.86,0.2,0.18,20.07,524748.0___NA__
Lippi Systems,526604.0,__NA__,Engineering,16.43,-1.36,-1.36,0.67,0.65,-0.04,0.04,0.07,-0.43,-0.32,0.43,-0.28,-0.17,0.21,0.1,4.72,7.41,12.26,12.86,-2.73,1.22,6.89,16.31,-2.48,9.53,6.17,8.08,0.15,0.12,1.03,11.5,526604.0___NA__
LKP Finance,507912.0,__NA__,Finance & Investments,149.9,50.68,50.68,-10.03,-46.11,-5.46,7.67,45.83,10.8,10.73,-56.11,32.2,-13.18,20.86,42.87,47.92,22.27,78.82,56.3,47.87,20.87,77.04,57.2,-27.73,-82.05,-44.48,-70.69,29.74,22.19,13.9,188.42,507912.0___NA__
